Fantasy Team,Gender Match,Last Name,First Name,Fantasy Points,Goals,Assists,Throwing Yards,Receiving Yards,Blocks,Turns
Combo-Owner-Draft,GM,Last,First,SUM of FantasyPts,SUM of Goals,SUM of Assists,SUM of ThrowYds,SUM of RecYds,SUM of Block,SUM of Turn
Ian GUY-4-10,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Culton,Dawn,9.2,3,1,73,151,0,0
,F,Kurahashi,Mika,6.9,0,1,95,99,1,1
,F,Schall,Charlotte,15.2,2,2,229,165,1,1
,F,Wedge,Molly,2.6,1,0,3,24,1,1
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Benvegnen,Paul,32.6,2,8,569,172,2,2
,M,Gallant,Marty,13.0,3,1,154,217,0,0
,M,Hayes,Raphy,12.9,4,3,129,450,2,5
,M,Stanguennec,Léo,21.8,0,5,248,215,2,1
Isaac CROCS-8-8,F,Egan-Griffiths,Georgia,2.7,1,0,32,36,0,0
,F,Helton,Kaela,14.6,2,2,107,169,1,0
,F,Montaña,Ximena,9.1,3,0,-1,106,1,0
,F,Wei,Simei,-0.8,0,3,175,144,0,4
,M,Freechild,Dylan,19.3,1,5,475,-3,2,3
,M,Kurono,Masashi,19.9,5,5,201,592,1,4
,M,Liu,Bo,3.1,3,1,287,119,0,4
,M,Matsuno,Masahiro,1.2,0,2,311,89,0,4
Jakob EESTI-6-8,F,Chastain,Claire,0.5,0,1,89,90,1,3
,F,Helton,Kaela,14.6,2,2,107,169,1,0
,F,Kurahashi,Mika,6.9,0,1,95,99,1,1
,F,Latchy,Tifaine,10.3,0,2,105,54,1,0
,M,Ancelin,Gaël,-7.4,1,0,232,-21,0,5
,M,Brownlee,Marques,8.8,3,2,359,43,1,4
,M,Edmonds,Thomas,26.5,4,3,451,238,1,1
,M,Poitte-Sokolsky,Sacha,4.2,4,0,254,77,0,3
James CROCS-8-8,F,Bornot,Lison,9.0,3,1,45,278,1,2
,F,Culton,Dawn,9.2,3,1,73,151,0,0
,F,Schall,Charlotte,15.2,2,2,229,165,1,1
,M,Andrews,Rob,24.8,3,4,266,337,3,3
,M,Hayes,Raphy,12.9,4,3,129,450,2,5
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Ladomatos,Alex,4.3,0,2,204,103,0,2
,M,Snider,Quinn,16.2,5,1,52,331,2,2
Josh AK-5-10,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Cárdenas,Manuela,8.4,1,2,222,87,0,1
,F,Chastain,Claire,0.5,0,1,89,90,1,3
,F,Helton,Kaela,14.6,2,2,107,169,1,0
,F,Walczak,Levke,6.4,10,1,86,489,1,7
,M,Ancelin,Gaël,-7.4,1,0,232,-21,0,5
,M,Cantor,Jonathan,1.2,0,1,26,-29,0,0
,M,McGuckin,Sam,10.3,4,3,110,301,0,2
,M,Okajima,Sho,3.9,3,4,162,198,0,4
,M,Stanguennec,Léo,21.8,0,5,248,215,2,1
Josh STURF-4-10,F,Beaudry,Anouchka,6.9,3,2,51,172,0,1
,F,Bornot,Lison,9.0,3,1,45,278,1,2
,F,Helton,Kaela,14.6,2,2,107,169,1,0
,F,Ospina,Laura,7.1,1,1,92,113,0,0
,F,Walczak,Levke,6.4,10,1,86,489,1,7
,M,Ancelin,Gaël,-7.4,1,0,232,-21,0,5
,M,Cantor,Jonathan,1.2,0,1,26,-29,0,0
,M,Edmonds,Thomas,26.5,4,3,451,238,1,1
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Kocher,Chris,19.5,1,3,316,94,1,0
Katelyn CROCS-8-8,F,Kurahashi,Mika,6.9,0,1,95,99,1,1
,F,Ollivier,Chloé,3.5,2,0,-18,101,0,0
,F,Ospina,Laura,7.1,1,1,92,113,0,0
,F,Thompson,Anna,23.9,2,5,225,254,2,1
,M,Gan,Alex,-8.9,1,0,293,111,0,7
,M,Herkens,Paul,33.6,3,2,144,159,6,1
,M,Kocher,Chris,19.5,1,3,316,94,1,0
,M,Stanguennec,Léo,21.8,0,5,248,215,2,1
Keegs AK-5-10,F,Cárdenas,Valeria,5.7,3,0,213,258,0,3
,F,Jacobsohn,Sarah,-3.1,0,3,86,163,0,4
,F,Kashino,Yuko,19.5,2,6,239,213,0,0
,F,Phillips,Cat,21.9,1,4,240,379,2,2
,F,Prien,Nici,7.6,2,2,27,239,1,2
,M,Auger-Semmar,Malik,17.4,4,3,174,257,0,0
,M,Benvegnen,Paul,32.6,2,8,569,172,2,2
,M,Brownlee,Marques,8.8,3,2,359,43,1,4
,M,Ing,Michael,30.8,5,3,256,202,5,3
,M,Snider,Quinn,16.2,5,1,52,331,2,2
