Owner,Team,First,Last,GM,Goals,Assists,ThrowYds,RecYds,Block,Turn,FantasyPts,Draft,Combo-Owner-Draft,TeamName
,JPN,Akifumi,Muraoka,M,1,1,167,48,1,0,12.1,AK-5-10,,JPNAkifumiMuraoka
Josh,JPN,Sho,Okajima,M,3,4,162,198,0,4,3.9,AK-5-10,Josh AK-5-10,JPNShoOkajima
,JPN,Riyu,Shimizu,F,0,3,418,118,0,3,9.1,AK-5-10,,JPNRiyuShimizu
,JPN,Ryota,Suzuki,M,1,2,515,-33,0,3,8.9,AK-5-10,,JPNRyotaSuzuki
,JPN,Miwa,Tajima,F,1,0,6,20,0,0,1.6,AK-5-10,,JPNMiwaTajima
,JPN,Mayuka,Takada,F,3,3,240,436,0,3,13.0,AK-5-10,,JPNMayukaTakada
,JPN,Sayako,Nemoto,F,0,0,-31,45,1,0,4.0,AK-5-10,,JPNSayakoNemoto
Keegs,USA,Marques,Brownlee,M,3,2,359,43,1,4,8.8,AK-5-10,Keegs AK-5-10,USAMarquesBrownlee
Josh,USA,Claire,Chastain,F,0,1,89,90,1,3,0.5,AK-5-10,Josh AK-5-10,USAClaireChastain
Liam,USA,Dawn,Culton,F,3,1,73,151,0,0,9.2,AK-5-10,Liam AK-5-10,USADawnCulton
AK,USA,Carolyn,Finney,F,2,3,253,241,1,0,21.5,AK-5-10,AK AK-5-10,USACarolynFinney
AK,USA,Dylan,Freechild,M,1,5,475,-3,2,3,19.3,AK-5-10,AK AK-5-10,USADylanFreechild
Liam,USA,Kami,Groom,F,3,2,22,210,0,0,9.9,AK-5-10,Liam AK-5-10,USAKamiGroom
Zach,USA,Raphy,Hayes,M,4,3,129,450,2,5,12.9,AK-5-10,Zach AK-5-10,USARaphyHayes
Josh,USA,Kaela,Helton,F,2,2,107,169,1,0,14.6,AK-5-10,Josh AK-5-10,USAKaelaHelton
AK,USA,Henry,Ing,M,4,3,110,386,0,1,15.0,AK-5-10,AK AK-5-10,USAHenryIng
Keegs,USA,Michael,Ing,M,5,3,256,202,5,3,30.8,AK-5-10,Keegs AK-5-10,USAMichaelIng
AK,USA,Chris,Kocher,M,1,3,316,94,1,0,19.5,AK-5-10,AK AK-5-10,USAChrisKocher
,USA,Grant,Lindsley,M,2,6,283,206,0,0,20.7,AK-5-10,,USAGrantLindsley
AK,USA,Anna,Thompson,F,2,5,225,254,2,1,23.9,AK-5-10,AK AK-5-10,USAAnnaThompson
Zach,USA,Claire,Trop,F,7,0,38,252,1,1,14.2,AK-5-10,Zach AK-5-10,USAClaireTrop
Ian,AUS,Rob,Andrews,M,3,4,266,337,3,3,24.8,GUY-4-10,Ian GUY-4-10,AUSRobAndrews
,AUS,James,Bray,M,0,0,18,20,0,0,0.9,GUY-4-10,,AUSJamesBray
,AUS,Olivia,Carr,F,3,0,0,58,0,1,1.2,GUY-4-10,,AUSOliviaCarr
,AUS,Bill,Foreman,M,2,1,190,113,1,1,12.1,GUY-4-10,,AUSBillForeman
Guy,AUS,Alex,Gan,M,1,0,293,111,0,7,-8.9,GUY-4-10,Guy GUY-4-10,AUSAlexGan
,AUS,Jonathan,Keys,M,2,7,387,196,0,4,12.6,GUY-4-10,,AUSJonathanKeys
,AUS,Alex,Ladomatos,M,0,2,204,103,0,2,4.3,GUY-4-10,,AUSAlexLadomatos
Keegs,AUS,Sam,McGuckin,M,4,3,110,301,0,2,10.3,GUY-4-10,Keegs GUY-4-10,AUSSamMcGuckin
,AUS,Lyra,Meehan,F,0,1,15,9,0,0,1.7,GUY-4-10,,AUSLyraMeehan
Sam,AUS,Cat,Phillips,F,1,4,240,379,2,2,21.9,GUY-4-10,Sam GUY-4-10,AUSCatPhillips
,AUS,Angela,Pidgeon,F,3,1,19,91,1,0,10.4,GUY-4-10,,AUSAngelaPidgeon
,AUS,Alexandra,Prentice,F,1,0,324,137,0,3,4.5,GUY-4-10,,AUSAlexandraPrentice
Guy,AUS,Kya,Wiya,F,4,2,41,250,0,2,6.2,GUY-4-10,Guy GUY-4-10,AUSKyaWiya
,AUS,Georgia,Egan-Griffiths,F,1,0,32,36,0,0,2.7,GUY-4-10,,AUSGeorgiaEgan-Griffiths
